Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Grade","Qualification","Mounting Type","Supplier Device Package","Package / Case"
"https://www.diodes.com/assets/Datasheets/DMP10H400SK3.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6210/31%7ETO252-2%7ED%2CK%7E2.jpg","DMP10H400SK3-13DITR-ND,DMP10H400SK3-13DICT-ND,DMP10H400SK3-13DIDKR-ND","DMP10H400SK3-13","Diodes Incorporated","Diodes Incorporated","MOSFET P-CH 100V 9A TO252-3","60,221","0.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","P-Channel","MOSFET (Metal Oxide)","100 V","9A (Tc)","4.5V, 10V","240mOhm @ 5A, 10V","3V @ 250µA","17.5 nC @ 10 V","±20V","1239 pF @ 25 V","-","42W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","TO-252-3","TO-252-3, DPAK (2 Leads + Tab), SC-63"
"https://www.aosmd.com/sites/default/files/media/AOSGreenPolicy.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/785%7EPO-00047%7E%7E8.jpg","785-1137-2-ND,785-1137-1-ND,785-1137-6-ND","AON7406","Alpha & Omega Semiconductor Inc.","Alpha & Omega Semiconductor Inc.","MOSFET N-CH 30V 9A/25A 8DFN","8,674","0.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Not For New Designs","N-Channel","MOSFET (Metal Oxide)","30 V","9A (Ta), 25A (Tc)","4.5V, 10V","17mOhm @ 9A, 10V","2.4V @ 250µA","18 nC @ 10 V","±20V","888 pF @ 15 V","-","3.1W (Ta), 15.5W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","8-DFN-EP (3x3)","8-PowerVDFN"
"https://assets.nexperia.com/documents/data-sheet/PMPB13XNE.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6352/MFG_1727%7ESOT1220%7E%7E6.jpg","1727-PMPB13XNE,115TR-ND,1727-PMPB13XNE,115CT-ND,1727-PMPB13XNE,115DKR-ND","PMPB13XNE,115","Nexperia USA Inc.","Nexperia USA Inc.","MOSFET N-CH 30V 8A DFN2020MD-6","54,724","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","8A (Ta)","1.8V, 4.5V","16mOhm @ 8A, 4.5V","900mV @ 250µA","36 nC @ 4.5 V","±12V","2195 pF @ 15 V","-","1.7W (Ta), 12.5W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","DFN2020MD-6","6-UDFN Exposed Pad"
"https://www.infineon.com/dgdl/irf7493pbf.pdf?fileId=5546d462533600a4015355ffcce21c40","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/448_8-SOIC.jpg","IRF7493PBFTR-ND,IRF7493PBFCT-ND,IRF7493PBFDKR-ND","IRF7493TRPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 9.3A 8SO","6,925","0.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","HEXFET®","Active","N-Channel","MOSFET (Metal Oxide)","80 V","9.3A (Tc)","10V","15mOhm @ 5.6A, 10V","4V @ 250µA","53 nC @ 10 V","±20V","1510 pF @ 25 V","-","2.5W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","8-SO","8-SOIC (0.154"", 3.90mm Width)"
"https://www.diodes.com/assets/Datasheets/DMT6016LFDF.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6347/31%7EU-DFN2020-6-TYPEF%7EF%7E6.jpg","DMT6016LFDF-7DITR-ND,DMT6016LFDF-7DICT-ND,DMT6016LFDF-7DIDKR-ND","DMT6016LFDF-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 60V 8.9A 6UDFN","2,065","0.78","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","8.9A (Ta)","4.5V, 10V","16mOhm @ 10A, 10V","3V @ 250µA","17 nC @ 10 V","±20V","864 pF @ 30 V","-","820mW (Ta)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","U-DFN2020-6 (Type F)","6-UDFN Exposed Pad"
"https://www.vishay.com/docs/68748/si4431cd.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/742%7E5498%7EDY%2CEY%7E8.jpg","SI4431CDY-T1-GE3TR-ND,SI4431CDY-T1-GE3CT-ND,SI4431CDY-T1-GE3DKR-ND","SI4431CDY-T1-GE3","Vishay Siliconix","Vishay Siliconix","MOSFET P-CH 30V 9A 8SO","34,008","0.84","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","P-Channel","MOSFET (Metal Oxide)","30 V","9A (Tc)","4.5V, 10V","32mOhm @ 7A, 10V","2.5V @ 250µA","38 nC @ 10 V","±20V","1006 pF @ 15 V","-","2.5W (Ta), 4.2W (Tc)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","8-SOIC","8-SOIC (0.154"", 3.90mm Width)"
"https://www.diodes.com/assets/Datasheets/DMTH6016LPSQ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6210/31%7EPOWERDI5060-8%7E%7E8.jpg","DMTH6016LPSQ-13DITR-ND,DMTH6016LPSQ-13DICT-ND,DMTH6016LPSQ-13DIDKR-ND","DMTH6016LPSQ-13","Diodes Incorporated","Diodes Incorporated","MOSFET N-CHA 60V 10.6A POWERDI","58,054","0.88","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","9.8A (Ta), 37A (Tc)","4.5V, 10V","16mOhm @ 20A, 10V","2.5V @ 250µA","17 nC @ 10 V","±20V","864 pF @ 30 V","-","2.6W (Ta), 37.5W (Tc)","-55°C ~ 175°C (TJ)","Automotive","AEC-Q101","Surface Mount","PowerDI5060-8","8-PowerTDFN"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/517/DMG4407SSS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5741/31%7E8SO-3.9%7E%7E8.jpg","DMG4407SSS-13DITR-ND,DMG4407SSS-13DICT-ND,DMG4407SSS-13DIDKR-ND","DMG4407SSS-13","Diodes Incorporated","Diodes Incorporated","MOSFET P-CH 30V 9.9A 8SO","10,430","0.9","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","P-Channel","MOSFET (Metal Oxide)","30 V","9.9A (Ta)","6V, 10V","11mOhm @ 12A, 20V","3V @ 250µA","20.5 nC @ 10 V","±25V","2246 pF @ 15 V","-","1.45W (Ta)","-50°C ~ 150°C (TJ)","-","-","Surface Mount","8-SO","8-SOIC (0.154"", 3.90mm Width)"
"https://rocelec.widen.net/view/pdf/rwygqx6rjd/FAIRS27615-1.pdf?t.download=true&u=5oefqw","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6164/488%7EMKT-M08A%7ED%2CM%2CTF%7E8.jpg","FDS4435BZTR-ND,FDS4435BZCT-ND,FDS4435BZDKR-ND","FDS4435BZ","onsemi","onsemi","MOSFET P-CH 30V 8.8A 8SOIC","6,187","0.95","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PowerTrench®","Active","P-Channel","MOSFET (Metal Oxide)","30 V","8.8A (Ta)","4.5V, 10V","20mOhm @ 8.8A, 10V","3V @ 250µA","40 nC @ 10 V","±25V","1845 pF @ 15 V","-","2.5W (Ta)","-55°C ~ 155°C (TJ)","-","-","Surface Mount","8-SOIC","8-SOIC (0.154"", 3.90mm Width)"
"https://www.diodes.com/assets/Datasheets/DMP4015SSS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5741/31%7E8SO-3.9%7E%7E8.jpg","DMP4015SSS-13DITR-ND,DMP4015SSS-13DICT-ND,DMP4015SSS-13DIDKR-ND","DMP4015SSS-13","Diodes Incorporated","Diodes Incorporated","MOSFET P-CH 40V 9.1A 8SO","1,497","0.98","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","P-Channel","MOSFET (Metal Oxide)","40 V","9.1A (Ta)","4.5V, 10V","11mOhm @ 9.8A, 10V","2.5V @ 250µA","47.5 nC @ 5 V","±25V","4234 pF @ 20 V","-","1.45W (Ta)","-55°C ~ 150°C (TJ)","-","-","Surface Mount","8-SO","8-SOIC (0.154"", 3.90mm Width)"
